date,target_prediction,target
2014-01-14,-0.04544928401802173,-0.062298844159765054
2014-01-15,-0.025331644151279198,-0.05853240505278412
2014-01-16,-0.056618051903524425,-0.05574149345252999
2014-01-17,-0.017430824510679455,-0.04212542516314033
2014-01-21,-0.0034256547765213474,-0.06284118090767588
2014-01-22,-0.057874967383924836,-0.0797122169424408
2014-01-23,-0.00516340583499042,-0.060415242290435156
2014-01-24,-0.041199931173207416,-0.043151379600420925
2014-01-27,-0.02842798058308149,-0.07482722460609514
2014-01-28,-0.06268963549639583,-0.03577522045819859
2014-01-29,-0.027472070170815543,-0.007099390768979252
2014-01-31,0.03045590481528504,0.026479354188816417
2014-02-04,0.04446811399606343,0.03703703771823297
2014-02-06,0.007966021870180251,0.02197802235691748
2014-02-07,0.026335667681282926,0.022140221817900763
